artist_name,Streams
Ed Sheeran,5795429577
The Chainsmokers,3907291137
Drake,2241766582
Clean Bandit,1979461951
Calvin Harris,1731032607
Kygo,1686627616
Luis Fonsi,1564738135
Kendrick Lamar,1521057508
Migos,1457881776
French Montana,1402657477
ZAYN,1237446351
Lil Uzi Vert,1188646546
Martin Garrix,1155264144
Bruno Mars,1105690458
Post Malone,1087713008
Camila Cabello,1070984691
Dua Lipa,1062809378
Major Lazer,1061542876
Travis Scott,1041308716
Zedd,1004462460
Khalid,982050417
Jason Derulo,951177868
Kodak Black,885910939
21 Savage,828149596
Charlie Puth,817382719
Jonas Blue,748803249
DJ Snake,725924689
Marshmello,706376672
Twenty One Pilots,653754773
Harry Styles,642059470
Future,612812229
Alessia Cara,601628671
Maggie Lindemann,599446674
XXXTENTACION,578979520
DJ Khaled,576792384
Cheat Codes,559257774
Shakira,545117249
James Arthur,498853960
Eminem,468668625
Portugal. The Man,468310578
The Weeknd,466665271
Shawn Mendes,448511888
Lil Pump,437413624
Avicii,411670831
Maluma,402005681
David Guetta,395354817
Hailee Steinfeld,385459984
Maroon 5,367751568
G-Eazy,364805714
Selena Gomez,346723416
Sia,344958078
KYLE,342569227
Sam Smith,341418466
Lil Wayne,337292148
Bebe Rexha,325254939
Rae Sremmurd,315515876
Childish Gambino,312594305
Enrique Iglesias,310959975
Justin Bieber,305679808
Mike Posner,305294562
JP Cooper,300176050
Nicky Jam,259895682
Big Sean,244745546
Alan Walker,243024775
Cardi B,235155461
Piso 21,233504929
CNCO,219461181
Sam Hunt,218658213
Ariana Grande,217646713
SZA,216026122
A$AP Ferg,211972838
Steve Aoki,202082399
Justin Timberlake,198539447
Alok,198292351
Anuel AA,192867558
2 Chainz,190630123
Petit Biscuit,189996008
Demi Lovato,179316464
Offset,167471410
Linkin Park,156960322
Ozuna,153517147
J Balvin,152125915
Yo Gotti,150383519
Natti Natasha,149972399
Playboi Carti,148445095
Kungs,143527376
Ricky Martin,140826323
Robin Schulz,133946764
Young Thug,131807577
FRENSHIP,131540364
Carlos Vives,124207585
Shelley FKA DRAM,122237069
Chance the Rapper,117957240
Fifth Harmony,114388292
Snakehips,111735536
Anne-Marie,111713562
A Boogie Wit da Hoodie,109480992
Sage The Gemini,108464758
Desiigner,107398376
Sebastian Yatra,106975289
