,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"good 4 u","Olivia Rodrigo",8500466,https://open.spotify.com/track/6PERP62TejQjgHu81OHxgM
2,"MONTERO (Call Me By Your Name)","Lil Nas X",5738238,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
3,"Kiss Me More (feat. SZA)","Doja Cat",5470021,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
4,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",4981314,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
5,"Levitating (feat. DaBaby)","Dua Lipa",4374785,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
6,"deja vu","Olivia Rodrigo",3853757,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
7,"Astronaut In The Ocean","Masked Wolf",3541370,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
8,"Leave The Door Open","Bruno Mars",3388913,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
9,Fiel,"Los Legendarios",3190593,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
10,"Pareja Del Año","Sebastian Yatra",3038989,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
11,"drivers license","Olivia Rodrigo",2963359,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
12,RAPSTAR,"Polo G",2962199,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
13,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",2812161,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
14,"m y . l i f e (with 21 Savage & Morray)","J. Cole",2673812,https://open.spotify.com/track/1D3z6HTiQsNmZxjl7F7eoG
15,Am,"Nio Garcia",2657174,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
16,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne",2585102,https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ
17,"Blinding Lights","The Weeknd",2452819,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
18,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2424926,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
19,"p r i d e . i s . t h e . d e v i l (with Lil Baby)","J. Cole",2368089,https://open.spotify.com/track/5W8jRrZ6tWrTrqnKRtIQBf
20,"Build a Bitch","Bella Poarch",2362354,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
21,"Your Power","Billie Eilish",2357882,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
22,"Heartbreak Anniversary",Giveon,2315094,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
23,telepatía,"Kali Uchis",2199223,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
24,"a m a r i","J. Cole",2187155,https://open.spotify.com/track/2cnKST6T9qUo2i907lm8zX
25,"The Business",Tiësto,2162104,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
26,DÁKITI,"Bad Bunny",2137915,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
27,"Botella Tras Botella","Gera MX",1965705,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
28,"EL MAKINON","KAROL G",1926416,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
29,Runaway,AURORA,1907036,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
30,"Save Your Tears","The Weeknd",1842016,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
31,"Heat Waves","Glass Animals",1777729,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
32,"Hold On","Justin Bieber",1774002,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
33,Arcade,"Duncan Laurence",1757734,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
34,"Mood (feat. iann dior)",24kGoldn,1749723,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
