artist_name,Streams
Post Malone,9489738457
Billie Eilish,6385518376
Ed Sheeran,4329703991
Ariana Grande,3990306070
Lil Nas X,3985900083
Shawn Mendes,3010763800
Travis Scott,2807520730
Marshmello,2701109322
Sam Smith,2467416888
Maroon 5,2236804530
A Boogie Wit da Hoodie,2197116747
The Chainsmokers,1910071207
Khalid,1776803509
Drake,1767589089
Anuel AA,1740783992
Kygo,1680184076
Daddy Yankee,1630253985
Y2K,1625451456
Ava Max,1623230018
DJ Snake,1598096034
Lewis Capaldi,1520794283
J. Cole,1424409849
Meek Mill,1310410815
Camila Cabello,1238913224
MEDUZA,1191179816
XXXTENTACION,1170134400
ROSALÍA,1128135710
benny blanco,1117598526
Calvin Harris,1074443853
Cardi B,1057357382
Young Thug,1013751974
5 Seconds of Summer,998897059
Dua Lipa,988835860
Chris Brown,986981523
YNW Melly,975312844
Jonas Brothers,967637296
Lil Baby,966354242
Lauv,951529910
Halsey,914550912
21 Savage,901548248
Arizona Zervas,898214531
Sech,863287032
Selena Gomez,840460748
Dynoro,830935770
Mabel,819942286
Juice WRLD,819745095
Imagine Dragons,806190836
Alec Benjamin,762353076
Tones And I,745353098
Mustard,737547821
Lizzo,729425173
Avicii,710582708
Tyga,702370000
DaBaby,671217182
Regard,655485525
J Balvin,654080392
Maluma,638528494
Taylor Swift,630436496
Black Eyed Peas,605071842
Pedro Capó,604625530
Bad Bunny,580663570
Anne-Marie,576901518
Harry Styles,570231552
Dalex,560647588
blackbear,551979656
Dominic Fike,496028220
Kodak Black,491740474
Zedd,487216990
Panic! At The Disco,483181557
Normani,469287060
The Weeknd,456447950
Blueface,451245988
Dean Lewis,450504127
"Tyler, The Creator",444113182
Queen,438395538
Nicky Jam,433133407
Bazzi,430996553
Kanye West,430972152
OneRepublic,420238692
Ellie Goulding,415419683
Mark Ronson,408177101
Martin Garrix,384435062
Dan + Shay,381206140
Lil Tecca,380612933
Jhay Cortez,369320032
Trevor Daniel,354043140
Aaron Smith,329666496
Alan Walker,325472742
Katy Perry,311688931
Lil Uzi Vert,284289917
Sam Feldt,282412204
James Arthur,281411032
BTS,274214645
Polo G,272781761
DJ Luian,267074325
Sebastian Yatra,262292460
John Legend,256659762
KAROL G,254808190
TOTO,247258818
Sean Paul,246157006
